density,name,color,hardness,luster,streak,color3
1.45,Abelsonite,"red, pinkish",2-2.5,Sub Metallic,,"red, pinkish"
1.96,Vyalsovite,red,-,Sub Metallic,,red
2.16,Graphite,"black, iron",1.5-2,Sub Metallic,black,"black, iron"
2.30,Erdite,"red, copper",2,Metallic,black,"red, copper"
2.51,Cronusite !,"black, coal",1.5,Sub Metallic,black,"black, coal"
2.55,Melanovanadite,black,2.5,Sub Metallic,"brown, dark red",black
2.57,Hydrobiotite,"yellow, golden",2.5-3,Sub Metallic,white,"yellow, golden"
2.58,Oldhamite,"brown, light",4,Sub Metallic,,"brown, light"
2.69,Metavivianite,"green, leek",1.5-2,Sub Metallic,"brown, yellowish","green, leek"
2.70,Schollhornite,gray,1.5-2,Metallic,,gray
2.70,Bariandite,"black, blue",-,Sub Metallic,black,"black, blue"
2.75,Wilhelmramsayite !,"gray, dark lead",2.5,Metallic,,"gray, dark lead"
2.78,Fernandinite,"green, dark",2-3,Sub Metallic,"green, dark","green, dark"
2.82,Patronite,"gray, lead",2,Metallic,black,"gray, lead"
2.88,Coyoteite,black,1.5,Metallic,black,black
2.94,Yushkinite,violet,1,Metallic,"gray, reddish",violet
2.98,Tochilinite,"black, bronze",1-1.5,Metallic,,"black, bronze"
3.00,Birnessite,"brown, dark",1.5,Sub Metallic,,"brown, dark"
3.08,Klyuchevskite,"green, dark",2.5,Sub Metallic,green light,"green, dark"
3.08,Klyuchevskite-Duplicate,green,3.5,Sub Metallic,greenish,green
3.10,Rasvumite,"black, brownish",4-5,Metallic,,"black, brownish"
3.12,Valleriite,bronze,1-1.5,Metallic,,bronze
3.15,Siderazot,"white, silver",-,Metallic,,"white, silver"
3.17,Annite,"brown, reddish",2.5-3,Sub Metallic,"white, brownish","brown, reddish"
3.18,Fluorannite !,"black, iron",3,Sub Metallic,gray,"black, iron"
3.21,Caswellsilverite,"gray, yellow",1-2,Metallic,,"gray, yellow"
3.22,Moissanite,blue,9.5,Metallic,"gray, greenish",blue
3.26,Norrishite,"black, brownish",2.5,Sub Metallic,"brown, light","black, brownish"
3.30,Doloresite,"brown, dark",-,Sub Metallic,"black, greenish","brown, dark"
3.31,Bartonite,"brown, black",3.5,Metallic,black,"brown, black"
3.38,Chaoite,"gray, dark",1-2,Sub Metallic,,"gray, dark"
3.40,Steenstrupine-(Ce),"red, brown",4,Sub Metallic,tan,"red, brown"
3.42,Takanelite,"gray, brownish",2.5-3,Sub Metallic,"black, brown","gray, brownish"
3.46,Hauerite,"gray, blackish",4,Metallic,"brown, reddish","gray, blackish"
3.50,Bannermanite,black,-,Sub Metallic,"black, brownish",black
3.54,Wicksite,"black, bluish",4.5-5,Sub Metallic,green,"black, bluish"
3.55,Jianshuiite,brown,1.5-2,Metallic,brown,brown
3.56,Realgar,"red, aurora",1.5-2,Sub Metallic,orange,"red, aurora"
3.58,Haapalaite,"red, bronze",1,Metallic,,"red, bronze"
3.58,Rhonite,brown,5-6,Sub Metallic,,brown
3.60,Julgoldite-(Fe+++),"black, deep lustrous",4.5,Sub Metallic,,"black, deep lustrous"
3.60,Julgoldite-(Fe++),black,4.5,Sub Metallic,,black
3.65,Chiluite,yellow,3,Sub Metallic,,yellow
3.70,Arseniosiderite,"brown, bronze",1.5,Sub Metallic,ochraceous,"brown, bronze"
3.72,Chlorbartonite !,brown,4,Sub Metallic,black,brown
3.80,Viaeneite !,yellow,3.5-4.5,Metallic,black,yellow
3.80,Stanekite !,black,4-5,Sub Metallic,"brown, dark",black
3.80,Pseudorutile,black,3.5,Sub Metallic,"brown, reddish",black
3.80,Vrbaite,"black, gray",3.5,Metallic,"red, light","black, gray"
3.81,Daubreelite,black,4.5-5,Metallic,"black, brown",black
3.84,Hibonite,black,7.5-8,Metallic,"brown, reddish",black
3.84,Ernienickelite,"black, reddish",2,Sub Metallic,"brown, yellowish","black, reddish"
3.86,Ziesite,black,-,Metallic,"brown, red",black
3.88,Kraisslite,"brown, copper",3-4,Sub Metallic,"brown, golden","brown, copper"
3.90,Cafarsite,"yellow, brownish",5.5-6,Sub Metallic,"brown, yellowish","yellow, brownish"
3.91,Chalcophanite,blue,2.5,Metallic,brown,blue
3.92,Laihunite,"brown, dark",6,Sub Metallic,"brown, light","brown, dark"
3.93,Isocubanite,bronze,3.5,Metallic,,bronze
3.93,Takeuchiite,black,6,Metallic,brown,black
3.94,Jeppeite,black,5-6,Sub Metallic,"brown, light",black
3.95,Aurorite,"black, grayish",2-3,Metallic,brown,"black, grayish"
3.96,Blossite,black,-,Metallic,"brown, red",black
4.00,Alabandite,black,3.5-4,Sub Metallic,"green, dark",black
4.00,Armalcolite,gray,6,Metallic,,gray
4.00,Montroseite,black,5.5-6.5,Sub Metallic,black,black
4.00,Paramontroseite,black,-,Sub Metallic,black,black
4.00,Sulvanite,bronze,3.5,Metallic,black,bronze
4.00,Lepidocrocite,red,5,Sub Metallic,"brown, dark yellow",red
4.00,Geikielite,"black, bluish",6,Sub Metallic,"brown, purple","black, bluish"
4.00,Perovskite,black,5.5,Sub Metallic,"white, grayish",black
4.02,Ilvaite,"black, iron",5.5-6,Sub Metallic,"black, brownish","black, iron"
4.02,Gillulyite,red,2-2.5,Sub Metallic,red,red
4.03,Qandilite,black,7,Metallic,black,black
4.03,Orthopinakiolite,black,6,Metallic,"gray, brown",black
4.05,Greigite,blue,4-4.5,Metallic,black,blue
4.08,Nagashimalite,"black, greenish",6,Sub Metallic,green,"black, greenish"
4.10,Heideite,"gray, steel",3.5-4.5,Metallic,,"gray, steel"
4.11,Arsenosulvanite ?,bronze,3.5,Metallic,black,bronze
4.11,Grimaldiite,"red, dark",3.5-4.5,Metallic,red,"red, dark"
4.12,Brookite,brown,5.5-6,Sub Metallic,"white, yellowish",brown
4.15,Uhligite ?,black,5.5,Metallic,"gray, brownish",black
4.17,Tivanite,black,5.5,Sub Metallic,black,black
4.17,Dolerophanite,brown,3,Sub Metallic,"brown, yellowish",brown
4.18,Magnesiohulsite,black,5.5-6.5,Sub Metallic,"brown, dark",black
4.20,Chalcopyrite,"yellow, brass",3.5,Metallic,"black, greenish","yellow, brass"
4.20,Idaite,brown,2.5-3.5,Metallic,,brown
4.20,Colusite,bronze,3-4,Metallic,black,bronze
4.20,Gallite,gray,3-3.5,Metallic,"black, grayish",gray
4.20,Sedovite,brown,3,Sub Metallic,"brown, red",brown
4.20,Magnesiochromite,black,5.5,Metallic,"gray, dark",black
4.21,Ericssonite,"black, reddish",4.5,Sub Metallic,brown,"black, reddish"
4.21,Orickite,"yellow, brass",3.5,Metallic,black,"yellow, brass"
4.22,Sternbergite,"violet, blue",1-1.5,Metallic,black,"violet, blue"
4.23,Galaxite,"red, brown",7.5,Metallic,"red, brownish","red, brown"
4.25,Argentopyrite,blue,3.5-4,Metallic,,blue
4.29,Vinciennite,orange,4.5,Metallic,,orange
4.29,Talnakhite,yellow,4-4.5,Metallic,black,yellow
4.29,Stannoidite,"brown, brass",4,Metallic,"gray, brown","brown, brass"
4.30,Magnesiocoulsonite,black,6-6.5,Metallic,black,black
4.30,Hulsite,black,3,Sub Metallic,black,black
4.30,Schneiderhohnite,brown,3,Sub Metallic,"black, brownish",brown
4.30,Heterogenite-2H,black,3-4,Metallic,"brown, dark",black
4.30,Schafarzikite,red,3.5,Metallic,"brown, yellowish",red
4.30,Berthierite,"gray, dark steel",2-2.5,Metallic,"gray, brownish","gray, dark steel"
4.30,Nukundamite,"red, copper",3.5,Metallic,"gray, dark","red, copper"
4.32,Smythite,"black, brownish",4.5,Metallic,"gray, dark","black, brownish"
4.34,Yimengite,black,4,Metallic,brown,black
4.35,Haycockite,"yellow, brass",4.5,Metallic,black,"yellow, brass"
4.35,Manganite,black,4,Sub Metallic,"brown, dark",black
4.36,Mooihoekite,"yellow, brass",4,Metallic,black,"yellow, brass"
4.36,Cryptomelane,black,6-6.5,Sub Metallic,"black, brownish",black
4.37,Ramsdellite,"black, iron",3,Metallic,"black, brownish","black, iron"
4.38,Renierite,"yellow, bronze",4-5,Metallic,"gray, blackish","yellow, bronze"
4.39,Imhofite,"red, copper",2,Metallic,purple,"red, copper"
4.40,Stannite,blue,3.5-4,Metallic,black,blue
4.40,Titanium *,"gray, silver",4,Metallic,black,"gray, silver"
4.40,Latrappite,black,5.5,Metallic,gray,black
4.41,Loveringite,black,7.5,Metallic,"black, grayish",black
4.42,Landauite,black,7.5,Sub Metallic,gray,black
4.44,Manganoshadlunite,yellow,4,Metallic,,yellow
4.45,Vaesite,black,4.5-5.5,Metallic,,black
4.45,Enargite,"gray, steel",3,Metallic,black,"gray, steel"
4.47,Hemusite,gray,4,Metallic,,gray
4.48,Olkhonskite,black,8,Metallic,black,black
4.48,Putoranite,"yellow, brass",4.5,Metallic,black,"yellow, brass"
4.50,Briartite,"gray, blue",3.5-4,Metallic,,"gray, blue"
4.50,Luzonite,gray,3.5,Metallic,black,gray
4.50,Duranusite,red,2,Metallic,black,red
4.50,Germanite,brown,3,Metallic,"gray, dark",brown
4.52,Pyrophanite,"red, blood",5,Sub Metallic,"yellow, ochre","red, blood"
4.52,Villamaninite,"black, iron",4.5,Metallic,"black, sooty","black, iron"
4.55,Psilomelane ?,"black, iron",5-6,Sub Metallic,"black, brownish","black, iron"
4.56,Kuramite,gray,5,Metallic,,gray
4.56,Katoptrite,black,5.5,Metallic,"brown, red",black
4.57,Kesterite,"black, greenish",4.5,Metallic,black,"black, greenish"
4.57,Famatinite,"black, grayish",3-4,Metallic,black,"black, grayish"
4.57,Lenaite,gray,4-4.5,Metallic,"gray, dark",gray
4.60,Fetiasite,brown,5,Sub Metallic,"brown, ochre",brown
4.60,Mathiasite,black,7.5,Metallic,gray,black
4.60,Loranskite-(Y),"black, brownish",5,Sub Metallic,"gray, greenish","black, brownish"
4.60,Hutchinsonite,"red, cherry",1.5-2,Sub Metallic,red,"red, cherry"
4.61,Petrukite,gray,4.5,Metallic,black,gray
4.62,Pyrrhotite,bronze,3.5-4,Metallic,"black, gray",bronze
4.62,Troilite,"brown, bronze",3.5-4,Metallic,"black, gray","brown, bronze"
4.62,Nekrasovite,"brown, reddish",4.5-5,Metallic,,"brown, reddish"
4.62,Graeserite !,black,5.5,Metallic,black,black
4.63,Neltnerite,black,6,Sub Metallic,black,black
4.63,Lindsleyite,black,7.5,Metallic,gray,black
4.63,Stibnite,"gray, lead",2,Metallic,"gray, blackish","gray, lead"
4.64,Ilmenorutile,"black, iron",6-6.5,Sub Metallic,"brown, reddish","black, iron"
4.64,Vuorelainenite,"gray, brown",6.5,Metallic,,"gray, brown"
4.64,Hydrohetaerolite,"black, brownish",5-6,Sub Metallic,"brown, dark","black, brownish"
4.64,Marokite,black,6.5,Metallic,"brown, red",black
4.65,Carrollite,gray,4.5-5.5,Metallic,,gray
4.65,Violarite,"gray, violet",4.5-5.5,Metallic,,"gray, violet"
4.65,Siegenite,"gray, violet",5-5.5,Metallic,"black, grayish","gray, violet"
4.65,Polydymite,"gray, violet",4.5-5.5,Metallic,"gray, black","gray, violet"
4.65,Tennantite,"gray, steel",3.5-4,Metallic,"gray, reddish","gray, steel"
4.65,Magnesioferrite,"black, brownish",6-6.5,Metallic,"red, dark","black, brownish"
4.66,Mawsonite,"orange, brown",3.5-4,Metallic,,"orange, brown"
4.66,Clerite !,black,3.5-4,Sub Metallic,brown,black
4.66,Watanabeite,"gray, lead",4-4.5,Metallic,"gray, lead","gray, lead"
4.67,Indite,"black, iron",5,Metallic,black,"black, iron"
4.68,Dessauite !,black,6.5-7,Metallic,black,black
4.68,Covellite,"blue, indigo",1.5-2,Metallic,"gray, black","blue, indigo"
4.69,Murataite,black,6-6.5,Sub Metallic,,black
4.69,Nolanite,black,5-5.5,Sub Metallic,"black, brownish",black
4.70,Tranquillityite,"red, dark",-,Sub Metallic,,"red, dark"
4.70,Cubanite,"yellow, brass",3.5,Metallic,black,"yellow, brass"
4.70,Blatterite,black,6,Sub Metallic,brown,black
4.72,Ilmenite,"black, iron",5-5.5,Sub Metallic,"black, brownish","black, iron"
4.73,Pyrolusite,"gray, steel",6-6.5,Sub Metallic,black,"gray, steel"
4.74,Cleusonite !,black,6-7,Sub Metallic,black,black
4.74,Umohoite,"black, bluish",2,Sub Metallic,"gray, blue","black, bluish"
4.75,Jacobsite,"black, iron",5.5-6,Sub Metallic,"black, reddish","black, iron"
4.77,Hocartite,"gray, brownish",4,Metallic,,"gray, brownish"
4.77,Braunite-I,"black, grayish",6-6.5,Sub Metallic,"black, brownish gray","black, grayish"
4.77,Braunite-II *,"black, grayish",6-6.5,Sub Metallic,"black, brownish gray","black, grayish"
4.77,Hausmannite,"black, brownish",5.5,Sub Metallic,"brown, dark reddish","black, brownish"
4.78,Cernyite,gray,4,Metallic,black,gray
4.78,Owensite,black,3.5,Metallic,black,black
4.80,Chromite,black,5.5,Metallic,brown,black
4.80,Cattierite,pink,4.5,Metallic,,pink
4.80,Linnaeite,"gray, violet",4.5-5.5,Metallic,"black, grayish","gray, violet"
4.80,Pentlandite,bronze,3.5-4,Metallic,"black, greenish",bronze
4.80,Polybasite,black,2.5-3,Sub Metallic,"black, reddish",black
4.81,Selenium,gray,2,Sub Metallic,red,gray
4.81,Rebulite,"gray, dark",-,Metallic,"red, brown","gray, dark"
4.82,Pirquitasite,gray,4,Metallic,"gray, brownish",gray
4.83,Dingdaohengite-(Ce) !,black,6,Sub Metallic,brown,black
4.84,Ottemannite,"gray, reddish",2,Metallic,,"gray, reddish"
4.85,Iwakiite,"black, greenish",6-6.5,Metallic,black,"black, greenish"
4.86,Livingstonite,"gray, steel",2,Sub Metallic,red,"gray, steel"
4.86,Manganochromite,"black, grayish",5.5,Metallic,,"black, grayish"
4.86,Mohite,"gray, greenish",4,Metallic,gray,"gray, greenish"
4.87,Karelianite,black,8-9,Metallic,black,black
4.87,Hawleyite,"yellow, light",2.5-3,Metallic,"yellow, light","yellow, light"
4.88,Chalcostibite,"gray, lead",3.5,Metallic,black,"gray, lead"
4.89,Yarrowite,black,3.5,Metallic,,black
4.89,Marcasite,bronze,6-6.5,Metallic,"black, gray brownish",bronze
4.90,Fukuchilite,gray,6,Sub Metallic,,gray
4.90,Lautite,"black, grayish",3-3.5,Metallic,black,"black, grayish"
4.90,Tetrahedrite,"gray, iron",3.5-4,Metallic,black,"gray, iron"
4.90,Maghemite,"brown, dark",6,Metallic,brown,"brown, dark"
4.90,Smithite,"orange, brown",1.5-2,Sub Metallic,"red, vermilion","orange, brown"
4.91,Langbanite,"black, iron",6.5,Metallic,"black, grayish","black, iron"
4.93,Freibergite,gray,3.5-4,Metallic,"black, reddish",gray
4.94,Toyohaite,gray,4,Metallic,,gray
4.95,Bixbyite,black,6-6.5,Metallic,black,black
4.95,Goldfieldite,"gray, dark lead",3-3.5,Metallic,black,"gray, dark lead"
4.96,Abswurmbachite,black,6.5,Metallic,"black, brownish",black
4.96,Stoiberite,black,-,Metallic,"brown, red",black
4.97,Lapieite,"gray, steel",4.5-5,Metallic,,"gray, steel"
4.97,Pierrotite,"black, grayish",3.5,Metallic,"black, reddish","black, grayish"
4.97,Stalderite,black,3.5-4,Metallic,"red, brownish",black
5.00,Chatkalite,rose,4.5,Metallic,,rose
5.00,Crednerite,"black, iron",4-5,Metallic,"black, brownish","black, iron"
5.00,Donathite ?,black,6.5-7,Metallic,"brown, black",black
5.01,Bravoite ?,"gray, steel",6.5,Metallic,black,"gray, steel"
5.01,Pyrite,"yellow, pale brass",6.5,Metallic,"black, greenish","yellow, pale brass"
5.02,Hetaerolite,black,6,Sub Metallic,"black, brownish",black
5.04,Columbite-(Mg),"black, brownish",6.5,Sub Metallic,"brown, dark","black, brownish"
5.04,Parapierrotite,black,2.5-3,Sub Metallic,gray,black
5.05,Ferdisilicite *,"gray, steel",6.5,Metallic,black,"gray, steel"
5.05,Fergusonite-(Y),black,5.5-6,Sub Metallic,brown,black
5.07,Skinnerite,"gray, silver",3.5-4,Metallic,"black, reddish","gray, silver"
5.08,Jankovicite,black,2,Metallic,"brown, violet",black
5.10,Cuprospinel,black,6.5-7,Metallic,black,black
5.10,Bornite,"red, copper",3,Metallic,"black, grayish","red, copper"
5.10,Sartorite,"gray, dear lead",3,Metallic,"brown, dark","gray, dear lead"
5.10,Chabourneite,black,3-3.5,Sub Metallic,"red, brown",black
5.12,Versiliaite,black,5,Metallic,black,black
5.13,Spionkopite,black,2.5-3,Metallic,,black
5.15,Franklinite,black,5.5-6,Sub Metallic,"brown, reddish",black
5.15,Magnetite,"black, grayish",5.5-6,Metallic,black,"black, grayish"
5.15,Zoubekite,"gray, steel",3.5-4,Metallic,black,"gray, steel"
5.16,Uchucchacuaite,"gray, lead",3.5,Metallic,,"gray, lead"
5.16,Ianthinite,"black, violet",2.5-3,Sub Metallic,"brown, violet","black, violet"
5.17,Trevorite,black,5,Metallic,black,black
5.18,Eskolaite,black,8-8.5,Metallic,green,black
5.19,Coulsonite,"gray, blue",4.5-5,Metallic,"brown, black","gray, blue"
5.20,Herzenbergite,gray,2,Metallic,"black, brown",gray
5.20,Miargyrite,"gray, steel",2-2.5,Sub Metallic,"red, cherry","gray, steel"
5.20,Picotpaulite,bronze,2,Metallic,,bronze
5.20,Sinnerite,"gray, steel",5,Metallic,"black, grayish","gray, steel"
5.21,Paakkonenite,gray,2,Metallic,"gray, brownish",gray
5.22,Fuloppite,gray,2-2.5,Metallic,"gray, reddish",gray
5.22,Cochromite,black,7,Metallic,green,black
5.24,Zinkenite,gray,3-3.5,Metallic,"gray, steel",gray
5.24,Nichromite,black,6-6.5,Metallic,"gray, greenish",black
5.24,Jentschite !,black,2-2.5,Sub Metallic,"red, dark",black
5.26,Thalfenisite,"brown, bronze",1-1.5,Metallic,,"brown, bronze"
5.26,Twinnite,black,3.5,Metallic,"black, brownish",black
5.27,Godlevskite,"yellow, bronze",4-5,Metallic,gray,"yellow, bronze"
5.27,Roshchinite,"gray, lead",2.5-3.5,Metallic,"gray, pale steel","gray, lead"
5.28,Columbite-(Mn),"black, brownish",6,Sub Metallic,"black, reddish","black, brownish"
5.29,Cesarolite,gray,4.5,Sub Metallic,,gray
5.30,Paxite,black,3.5-4,Metallic,black,black
5.30,Senaite,black,6-6.5,Sub Metallic,"black, brownish",black
5.30,Liveingite,"gray, lead",3,Metallic,"brown, dark","gray, lead"
5.30,Hematite,"gray, reddish",6.5,Metallic,"brown,. reddish","gray, reddish"
5.31,Guettardite,"black, grayish",4,Metallic,brownish,"black, grayish"
5.33,Apuanite,black,4-5,Metallic,black,black
5.33,Cuboargyrite !,"black, grayish",3,Metallic,black,"black, grayish"
5.33,Ramdohrite,"gray, bluish black",2,Metallic,"black, gray","gray, bluish black"
5.33,Baumstarkite !,"black, iron",2.5,Metallic,"black, grayish","black, iron"
5.33,Baumhauerite,"gray, lead",3,Metallic,"brown, chocolate","gray, lead"
5.35,Bismutoplagionite *,gray,2.5,Metallic,,gray
5.35,Eskebornite,bronze,3-3.5,Metallic,black,bronze
5.36,Hongquiite *,"white, light",5-6,Metallic,,"white, light"
5.39,Geffroyite,"brown, bronze",2.5,Metallic,,"brown, bronze"
5.40,Osbornite,"yellow, golden",8.5,Metallic,,"yellow, golden"
5.41,Delafossite,black,5.5,Metallic,black,black
5.41,Cylindrite,"gray, lead",2.5,Metallic,black,"gray, lead"
5.41,Andorite,"yellow, grayish",3-3.5,Metallic,black,"yellow, grayish"
5.41,Seligmannite,"gray, lead",2.5-3,Metallic,"brown, chocolate","gray, lead"
5.41,Rathite,"gray, lead",3,Metallic,"brown, dark","gray, lead"
5.42,Stilleite,gray,5,Metallic,,gray
5.44,Arsenolamprite,"gray, dark",2,Metallic,black,"gray, dark"
5.44,Coronadite,"black, grayish",4.5-5,Sub Metallic,"black, brownish","black, grayish"
5.44,Strontiochevkinite,"black, brownish",5-6,Sub Metallic,brown,"black, brownish"
5.45,Horobetsuite *,gray,2,Metallic,,gray
5.45,Jaipurite *,"gray, steel",-,Metallic,,"gray, steel"
5.45,Velikite,gray,4,Metallic,gray,gray
5.46,Koragoite,red,4-5,Metallic,"brown, grayish",red
5.48,Tintinaite,"gray, lead",2.5-3,Metallic,black,"gray, lead"
5.48,Parajamesonite ?,gray,2.5-3,Metallic,,gray
5.49,Mcconnellite,"red, dark",5.5,Metallic,,"red, dark"
5.50,Aktashite,"black, grayish",3.5,Metallic,black,"black, grayish"
5.50,Petscheckite,black,5,Metallic,"black, brown",black
5.50,Millerite,bronze,3-3.5,Metallic,"black, greenish",bronze
5.50,Plagionite,black,2.5,Metallic,"black, reddish gray",black
5.50,Molybdenite,black,1,Metallic,"gray, greenish",black
5.51,Brunogeierite,gray,4.5,Sub Metallic,,gray
5.51,Samsonite,black,2.5,Sub Metallic,"red, dark",black
5.52,Magnetoplumbite,"black, grayish",6,Metallic,"brown, dark","black, grayish"
5.52,Sorbyite,"gray, lead",3.5-4,Metallic,metallic,"gray, lead"
5.53,Lorandite,red,2-2.5,Sub Metallic,red,red
5.54,Vigezzite,orange,4.5-5,Sub Metallic,white,orange
5.55,Proustite,vermilion,2-2.5,Sub Metallic,"red, vermilion",vermilion
5.56,Fizelyite,"gray, lead",2,Metallic,"gray, dark","gray, lead"
5.56,Dufrenoysite,"gray, lead",3,Sub Metallic,"brown, red","gray, lead"
5.57,Jamesonite,"gray, lead",2.5,Metallic,black. grayish,"gray, lead"
5.57,Zincite,yellow,4-5,Sub Metallic,"orange, yellowish",yellow
5.60,Aramayoite,"black, iron",2.5,Metallic,black,"black, iron"
5.60,Digenite,blue,2.5-3,Sub Metallic,"black, grayish",blue
5.60,Benavidesite,"gray, lead",2.5,Metallic,"gray, brown","gray, lead"
5.63,Melanostibite,black,4,Sub Metallic,cherry,black
5.63,Djurleite,"gray, lead",2.5-3,Metallic,metallic,"gray, lead"
5.64,Garavellite,gray,4,Metallic,,gray
5.64,Bambollaite,"gray, brownish",3,Metallic,,"gray, brownish"
5.65,Chalcocite,"black, blue",2.5-3,Metallic,"black, grayish","black, blue"
5.68,Anilite,"gray, bluish",3-4,Metallic,black,"gray, bluish"
5.69,Nezilovite !,black,4-5,Metallic,"brown, dark",black
5.70,Robinsonite,"gray, bluish lead",2.5-3,Metallic,,"gray, bluish lead"
5.70,Arsenic,"gray, lead",3.5,Metallic,black,"gray, lead"
5.70,Franckeite,"black, grayish",2.5,Metallic,"black, grayish","black, grayish"
5.70,Yttrotantalite-(Y),"black, brownish",5-5.5,Sub Metallic,"gray, colorless","black, brownish"
5.71,Ferrorhodsite,black,4.5,Metallic,black,black
5.71,Suredaite !,"black, grayish",2.5-3,Metallic,black,"black, grayish"
5.72,Dadsonite,"gray, lead",2.5,Metallic,black,"gray, lead"
5.73,Heteromorphite,black,2.5-3,Metallic,black,black
5.73,Melanotekite,black,6.5,Sub Metallic,greenish,black
5.75,Launayite,"gray, lead",3.5-4,Metallic,black,"gray, lead"
5.75,Giraudite,gray,3.5-4,Metallic,white,gray
5.76,Lindqvistite,black,6,Sub Metallic,"black, brownish",black
5.79,Weissbergite,"gray, steel",1.5,Metallic,"gray, reddish","gray, steel"
5.80,Playfairite,"gray, lead",3.5-4,Metallic,black,"gray, lead"
5.80,Bournonite,gray,3,Metallic,gray,gray
5.82,Heazlewoodite,"bronze, light",4,Metallic,"bronze, light","bronze, light"
5.83,Lengenbachite,"blue, gray",1-2,Metallic,"black, brownish","blue, gray"
5.83,Routhierite,"red, violet",3.5,Metallic,,"red, violet"
5.85,Pyrargyrite,"red, deep",2.5,Sub Metallic,"red, cherry","red, deep"
5.88,Gruzdevite,"black, grayish",4.5,Metallic,,"black, grayish"
5.88,Cechite,black,4.5-5,Sub Metallic,black,black
5.88,Antimonselite,"white, tin",3.5,Metallic,black,"white, tin"
5.88,Muckeite,"gray, pale",3.5,Metallic,"black, gray","gray, pale"
5.90,Carlsbergite,gray,7,Metallic,,gray
5.92,Billingsleyite,"gray, lead",2.5,Metallic,,"gray, lead"
5.92,Veenite,"gray, steel",3.5-4,Metallic,black,"gray, steel"
5.93,Yttrocolumbite-(Y),black,5-6,Sub Metallic,brown,black
5.95,Pararsenolamprite !,"gray, lead",2-2.5,Metallic,black,"gray, lead"
5.95,Semseyite,black,2.5,Metallic,black,black
5.95,Jordanite,"gray, lead",3,Metallic,black,"gray, lead"
5.95,Fersilicite *,"white, tin",6.5,Metallic,"black, grayish","white, tin"
5.96,Glaucodot,"white, grayish tin",5,Metallic,black,"white, grayish tin"
5.96,Kamiokite,"black, iron",4.5,Sub Metallic,black,"black, iron"
5.98,Madocite,"black, grayish",3,Metallic,"black, grayish","black, grayish"
6.00,Weissite,"black, bluish",3,Metallic,black,"black, bluish"
6.00,Plumboferrite,black,5,Metallic,"black, dark reddish",black
6.00,Boulangerite,"gray, lead",2.5,Metallic,"brown, reddish","gray, lead"
6.00,Sterryite,black,3.5,Metallic,metallic,black
6.01,Betekhtinite,"black, brownish",3,Metallic,black,"black, brownish"
6.05,Brackebuschite,"brown, dark",4-5,Sub Metallic,yellow,"brown, dark"
6.06,Miharaite,gray,4,Metallic,,gray
6.07,Arsenopyrite,"white, tin",5,Metallic,black,"white, tin"
6.07,Laffittite,"red, dark",3.5,Metallic,"red, brownish","red, dark"
6.10,Diaphorite,gray,2.5,Metallic,"gray, steel",gray
6.12,Gersdorffite,gray,5.5,Metallic,"black, grayish",gray
6.15,Thalcusite,bronze,2.5-3,Metallic,,bronze
6.15,Stibarsen,white,3-4,Metallic,"black, grayish",white
6.15,Pearceite,black,3,Sub Metallic,"black, reddish",black
6.15,Stromeyerite,"gray, blue",2.5-3,Metallic,"gray, steel","gray, blue"
6.17,Chameanite,gray,4.5,Metallic,,gray
6.17,Alloclasite,"gray, steel",5,Metallic,black,"gray, steel"
6.19,Fangite,"brown, deep dark",2-2.5,Sub Metallic,orange,"brown, deep dark"
6.19,Kentrolite,"brown, dark reddish",5,Sub Metallic,"brown, dark","brown, dark reddish"
6.20,Argyrodite,black,2.5,Metallic,"black, grayish",black
6.20,Bursaite ?,gray,2.5-3,Metallic,,gray
6.20,Potosiite,white,2.5,Metallic,,white
6.20,Umangite,"black, blue",3,Metallic,black,"black, blue"
6.20,Vozhminite,"yellow, brownish",4.5-5,Metallic,black,"yellow, brownish"
6.20,Tellurium,white,2-2.5,Metallic,"white, grayish",white
6.21,Arsenpolybasite,black,3,Metallic,black,black
6.22,Gratonite,"gray, lead",2.5,Metallic,black,"gray, lead"
6.23,Marrite,"gray, lead",3,Metallic,"black, brownish","gray, lead"
6.25,Stephanite,"gray, lead",2-2.5,Metallic,black,"gray, lead"
6.25,Drysdallite,"black, grayish",1-1.5,Metallic,"black, brown","black, grayish"
6.28,Canfieldite,black,2.5,Metallic,"black, grayish",black
6.30,Kobellite,"gray, lead",2.5-3,Metallic,black,"gray, lead"
6.30,Columbite-(Fe),black,6,Sub Metallic,"brown, blackish",black
6.30,Hakite,"brown, gray",5,Metallic,white,"brown, gray"
6.30,Murdochite,black,4,Sub Metallic,black,black
6.30,Freieslebenite,gray,2.5,Metallic,"gray, whitish",gray
6.31,Falkmanite,"gray, lead",2-3,Metallic,"gray, brownish","gray, lead"
6.32,Balkanite,gray,3.5,Metallic,,gray
6.33,Cobaltite,"white, reddish silver",5.5,Metallic,"black, grayish","white, reddish silver"
6.34,Antimonpearceite,black,3,Sub Metallic,black,black
6.35,Arsenohauchecornite,bronze,5.5,Metallic,"black, grayish",bronze
6.36,Hauchecornite,bronze,5,Metallic,"black, grayish",bronze
6.37,Owyheeite,"gray, lead",2.5,Metallic,"brown, reddish","gray, lead"
6.39,Meneghinite,"gray, blackish",2.5,Metallic,metallic,"gray, blackish"
6.40,Raguinite,bronze,-,Metallic,,bronze
6.40,Emplectite,gray,2,Metallic,black,gray
